2023 Progressive Metal Albums,,Releases:,1410,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
,,LPs:,1206,,,,,,,,
,,EPs:,209,,,,,,,,
,,Debuts:,286,,,,,,,,
,,Reissue/Special:,21,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Vale,A Senseless Procession,April 14,LP,"Atmospheric Black metal, Post-metal",Harsh,"Pittsburgh, PA",BC,S,,,
Lustre,Reverence,April 14,EP,"Atmospheric Black metal, Ambient",Harsh,"Östersund, Sweden",BC,S,YT,,
Mesmur,Chthonic,April 14,LP,"Funeral Doom metal, Death Doom metal",Harsh,"Wilmington, NC",BC,S,YT,,
Moribund Mantras,...Of Fathomless Depths,April 14,LP,"Black metal, Doom metal, Sludge metal",Mixed,"Stuttgart, Germany",BC,,,,
Najing,Najing,April 14,LP,Post-metal,Instrumental,"Pisa, Italy",BC,S,,,
Nerver / Chat Pile,Brothers in Christ,April 14,EP,"Sludge metal, Noise rock",Mixed,USA,BC,S,,,
Vanta,Empire On Fire,April 14,LP,"Prog-metal, Alt-metal",Clean,"Columbus, OH",,S,,,
Zeit,Ohnmacht,April 14,LP,"Black metal, Sludge metal",Harsh,"Leipzig, Germany",BC,,,,
Sabaton,Stories From The Western Front,April 14,EP,"Power metal, Heavy metal",Clean,Sweden,BC,S,,,
Winter's Shadow,Your Cold Embrace,April 14,EP,Melodic Death metal,Harsh,"Buffalo, NY",BC,S,,,
Metallica,72 Seasons,April 14,LP,"Thrash metal, Heavy metal",Clean,"San Rafael, CA",,S,,,
Black Oak,Egolution,April 14,LP,"Prog-metal, Post-metal",Mixed,Sweden,,S,,,
Jesus Piece,...So Unknown,April 14,LP,"Metalcore, Beatdown Hardcore",Harsh,"Philadelphia, PA",,S,,,
Stories Bones Tell,Of Worlds Long Gone,April 14,LP,Atmospheric Black metal,Harsh,"Lyon, France",BC,S,,,
The Burden,Terminal,April 14,LP,Post-Hardcore,Mixed,"Prince George, Canada",BC,S,,,
Summer Haze '99,Inevitable,April 14,LP,"Blackgaze, Dream Pop",Mixed,"Vienna, Austria",BC,S,,,
Squid Pisser,My Tadpole Legion,April 14,LP,"Mathcore, Noisecore",Harsh,"Los Angeles, CA",BC,S,,,
Cerulia,Aurora Skies,April 15,LP,Prog-metal,Mixed,USA,BC,S,,,
Beddau,Beddgelert,April 16,LP,"Post-metal, Doom metal",Mixed,"Wales, UK",BC,S,,,
Sarmat,Dubious Disk,April 19,EP,"Prog-metal, Death metal, Jazz Fusion",Harsh,"New York, NY",BC,S,,,
Amala,"Shell, Elapse, Haze, Aeon",April 19,EP,"Prog-metal, Post-metal",Instrumental,"Tokyo, Japan",BC,S,,,
Udol,El Regne,April 20,LP,Doom metal,Clean,Spain,BC,S,,,
Slung From A Tree,Voyage Into Cosmos,April 20,LP,Sludge metal,Mixed,"Ireland, UK",BC,S,,,
Bandit,Siege of Self,April 20,LP,Grindcore,Harsh,"Philadelphia, PA",BC,S,,,
Orme,Orme,April 20,LP,"Drone metal, Doom metal",Instru./Clean,UK,BC,S,,,
Portrayal of Guilt,Devil Music,April 20,LP,"Black metal, Hardcore, Screamo",Harsh,"Austin, TX",BC,S,,,
Nerve End,The Cycle,April 20,LP,Prog-metal,Mixed,"Helsinki, Finland",BC,S,,,
Nebulae Come Sweet,De Lumière,April 20,LP,Post-metal,Mixed,"Minsk, Belarus",BC,S,,,
Orpheus Omega,Portraits,April 20,EP,Melodic Death metal,Mixed,"Melbourne, Australia",BC,S,,,
Atavistia,Cosmic Warfare,April 21,LP,Melodic Death metal,Mixed,"Vancouver, Canada",BC,S,YT,,
As Everything Unfolds,Ultraviolet,April 21,LP,"Post-Hardcore, Metalcore",Mixed,UK,BC,S,,,
These Beasts,"Cares, Wills, Wants",April 21,LP,"Sludge metal, Noise rock",Mixed,"Chicago, IL",BC,S,,,
Dawn of Ouroboros,Velvet Incandescence,April 21,LP,"Prog-metal, Black metal, Death metal",Mixed,"Oakland, CA",BC,S,YT,,
Vorna,Aamunkoi,April 21,LP,"Melodic Black metal, Folk metal",Mixed,"Tampere, Finland",BC,S,,,
Century,The Conquest of Time,April 21,LP,Heavy metal,Clean,"Stockholm, Sweden",BC,S,,,
Neverus,Burdens of the Earth,April 21,LP,Melodic Death metal,Mixed,"Eindhoven, Netherlands",BC,S,YT,,
Tentation,Prémices,April 21,LP,Heavy metal,Clean,"Torreilles, France",BC,,,,
Predatory Void,Seven Keys to the Discomfort of Being,April 21,LP,"Post-metal, Sludge metal, Doom metal",Mixed,Belgium,,S,,,
Birdflesh,Sickness In The North,April 21,LP,Grindcore,Harsh,"Växjö, Sweden",BC,S,YT,,
Blood Star,First Sighting,April 21,LP,Heavy metal,Clean,"Salt Lake City, UT",BC,S,,,
The Eating Cave,The Miscalculation,April 21,LP,"Technical Death metal, Deathcore",Harsh,"Virginia Beach, VA",BC,S,YT,,
Smoulder,Violent Creed of Vengeance,April 21,LP,"Doom metal, Heavy metal",Clean,"Helsinki, Finland",BC,S,,,
Circle of Sighs,Circle of Sighs Performs an Invocation,April 21,LP,"Prog-metal, Avant-garde metal",Mixed,"Los Angeles, CA",BC,S,,,
Argenthorns,The Ravening,April 21,LP,Symphonic Black metal,Harsh,Finland,BC,S,,,
Phaeton,Between Two Worlds,April 21,LP,Prog-metal,Instrumental,"Kimberley, Canada",BC,S,,,
Windhand,Windhand (Deluxe Edition),April 21,LP,"Doom metal, Stoner metal",Clean,"Richmond, VA",BC,,YT,,
Mélancolia,HissThroughRottenTeeth,April 21,LP,Deathcore,Harsh,"Melbourne, Australia",BC,S,,,
Undrask,God Emperor,April 21,LP,Melodic Death metal,Harsh,"Greensboro, NC",BC,S,YT,,
Pestifer,Defeat of the Nemesis,April 21,EP,Technical Death metal,Harsh,"Liège, Belgium",BC,S,YT,,
Dimwind,The Futility Of Breathing,April 21,LP,Post-metal,Instrumental,"Gothenburg, Sweden",BC,S,YT,,
Ultraphallus,No Closure,April 21,LP,"Sludge metal, Noise rock",Mixed,"Liège, Belgium",BC,S,,,
Skinher,Heartstruck,April 21,LP,Heavy metal,Clean,Greece,BC,S,,,
Neurotech,Ave Neptune,April 21,LP,Cyber metal,Clean,Slovenia,BC,S,,,
Daydream Flights,The Garnet Bracelet,April 21,LP,"Blackgaze, Screamo",Mixed,"Syktyvkar, Russia",BC,S,YT,,
Eterknight,Forgotten Tales,April 21,LP,"Melodic Death metal, Symphonic metal",Mixed,"Cancún, Mexico",BC,S,,,
Angus McSix,Angus McSix and the Sword of Power,April 21,LP,"Power metal, Symphonic metal",Clean,"Dundee, UK",BC,S,,,
Eux,Mor(t)sang,April 21,LP,Screamo,Harsh,France,BC,S,,,
Car Bomb,Live In Santa Cruz,April 21,LP,"Mathcore, Djent",Mixed,"Brooklyn, NY",BC,S,,,
Bell Witch,Future's Shadow Part 1: The Clandestine Gate,April 21,LP,Funeral Doom metal,Mixed,"Seattle, WA",BC,S,YT,,
Unviâr,Faliscjis,April 21,EP,Atmospheric Black metal,Harsh,"Friûl, Italy",BC,S,,,
Projekt Gemineye,What Lies Beyond,April 21,LP,Prog-metal,Clean,"Brampton, Canada",BC,,,,
Memorydrip,Memorydrip,April 21,LP,"Alt-metal, Post-Hardcore",Clean,"Denver, CO",BC,S,,,
Dione,Cosmosphere,April 22,EP,Dissonant Black metal,Harsh,Poland,BC,S,,,
Terzij de Horde + Ggu:ll,Van Grond,April 22,EP,"Black metal, Doom metal, Post-metal",Harsh,Netherlands,BC,S,,,
Allochiria,Commotion,April 23,LP,"Post-metal, Sludge metal",Harsh,"Athens, Greece",BC,S,,,
Scenario.,When All is Said and Done,April 24,LP,Screamo,Harsh,"Florence, KY",BC,S,,,
Teramaze,Dalla Volta,April 27,LP,Prog-metal,Clean,"Melbourne, Australia",BC,S,,,
Sugar Horse,Thrash Music Single,April 27,EP,"Post-metal, Doom metal, Sludge metal",Mixed,"Bristol, UK",BC,,,,
The Oracle Machine,Homecoming,April 27,LP,Prog-metal,Instrumental,"Hamburg, Germany",BC,S,,,
Ephemeral Sky,\ Philanthrop /,April 27,LP,"Prog-metal, Post-metal, Blackgaze",Mixed,"Graz, Austria",BC,S,,,
Sleepsculptor,Divine Recalibration,April 28,LP,Mathcore,Harsh,"Wilkes Barre, PA",BC,S,,,
Ironmaster,Weapons Of Spiritual Carnage,April 28,LP,Death metal,Harsh,Sweden,BC,S,YT,,
Enchantya,Cerberus,April 28,LP,Gothic metal,Mixed,"Lisboa, Portugal",BC,S,YT,,
Fires in the Distance,Air Not Meant For Us,April 28,LP,"Melodic Death metal, Doom metal",Harsh,"Newington, CT",BC,S,YT,,
Austere,Corrosion of Hearts,April 28,LP,Depressive Black metal,Mixed,Australia,BC,S,,,
Wallowing,Earth Reaper,April 28,LP,Sludge metal,Harsh,"Brighton, UK",BC,S,YT,,
Orphans of Dusk,Spleen,April 28,LP,"Doom metal, Gothic metal",Mixed,New Zealand,BC,S,YT,,
Spotlights,Alchemy For The Dead,April 28,LP,"Post-metal, Alt-metal, Shoegaze",Clean,"New York, NY",BC,S,,,
Heel Turn,Glamorous Void,April 28,LP,"Sludge metal, Noise rock",Harsh,"Huntsville, AL",BC,S,,,
Ignea,Dreams of Lands Unseen,April 28,LP,"Prog-metal, Melodic Death metal, Symphonic",Mixed,"Kyiv, Ukraine",BC,S,,,
Chrome Waves,Earth Will Shed Its Skin,April 28,LP,Post-Black metal,Mixed,"Indianapolis, IN",BC,S,,,
Twisted Illusion,Upstairs to Optimism,April 28,LP,"Prog-metal, AOR",Clean,"Manchester, UK",BC,S,,,
Numeron,Road To Valhalla,April 28,LP,"Atmospheric Black metal, Blackgaze",Harsh,"Tulungagung, Indonesia",BC,S,,,
Vamachara,No Roses on My Grave,April 28,LP,"Metalcore, Hardcore",Harsh,"California, CA",BC,S,,,
Cradle of Filth,Trouble And Their Double Lives (Live),April 28,LP,Symphonic Black metal,Mixed,UK,BC,S,,,
Crimson Dawn,It Came From The Stars,April 28,LP,"Doom metal, Heavy metal",Clean,Italy,BC,S,,,
Asymmetric Universe ,The Sun Would Disappear As I Imagined All The Stars,April 28,EP,"Prog-metal, Jazz Fusion",Instrumental,"Turin, Italy",BC,S,,,
Lunar Chamber,Shambhallic Vibrations,April 28,EP,"Prog-metal, Death metal, Doom metal",Harsh,USA,BC,S,YT,,
The Medea Project,Reflections,April 28,EP,"Sludge metal, Doom metal",Mixed,"Nottingham, UK",BC,S,,,
King Potenaz,Goat Rider,April 28,LP,"Stoner metal, Doom metal",Clean,"Fasano, Italy",BC,S,,,
Mistral,In the Throes of Losing Love,April 28,LP,"Post-Black metal, Blackgaze",Mixed,"Warsaw, Poland",BC,S,,,
IER,物の怪,April 28,LP,"Prog-metal, Black metal",Mixed,Argentina,BC,S,,,
Aton Five,Aton Five,April 28,LP,Prog-metal,Instrumental,"Moscow, Russia",BC,S,,,
Terranoct,Icon of Ruin,April 28,LP,"Prog-metal, Death metal, Thrash metal",Harsh,"Akron, OH",BC,S,YT,,
Elvenking,Reader of the Runes – Rapture,April 28,LP,"Power metal, Folk metal",Clean,"Sacile, Italy",,S,,,
Graveworm,Killing Innocence,April 28,LP,"Melodic Black metal, Death metal, Gothic metal",Harsh,"Brunico, Italy",,S,,,
Redshift,Laws of Entropy,April 28,LP,Prog-metal,Mixed,"Bath, UK",BC,S,,,
Loam,Featherbrained,April 28,EP,Prog-metal,Instrumental,"Aberdeen, UK",BC,S,YT,,
Moiraire,Nascence,April 28,EP,"Prog-metal, Post-metal",Instrumental,"Chicago, IL",BC,,,,
Neska Lagun,caos​:​calma,April 28,LP,Screamo,Harsh,"Berlin, Germany",BC,S,,,
Inner Savestates,A Fleeting Glimpse of Fulsome Deaths,April 29,EP,"Blackened Hardcore, Post-Hardcore",Harsh,"Paris, France",BC,S,,,
Wildeornes,"...On the Earth, Under the Sky...",April 30,LP,"Black metal, Doom metal, Heavy metal",Mixed,"Melbourne, Australia",BC,S,,,
The Swan Station,Nightgazer,April 30,LP,"Prog-metal, Black metal, Melodic Deathcore",Harsh,"Budapest, Hungary",BC,S,,,
Cathari,In God’s Infinite Silence,May 1,LP,"Post-metal, Doom metal",Mixed,"Philadelphia, PA",,S,,,
Stagnant Waters,Black Fields // Battle Tactics of General Nonsense,May 1,EP,"Avant-garde metal, Black metal, Industrial",Mixed,France,BC,S,,,
Velaraas,Pantheon,May 1,LP,"Prog-metal, Melodic Death metal",Mixed,"Portland, OR",BC,S,,,
Countless Skies,Resonance – Live from the Studio,May 5,LP,"Prog-metal, Melodic Death metal",Mixed,UK,BC,S,YT,,
Nightmarer,Deformity Adrift,May 5,LP,"Dissonant Death metal, Technical Death metal",Harsh,"Portland, OR",BC,S,YT,,
Herod,Iconoclast,May 5,LP,"Prog-metal, Sludge metal",Mixed,Switzerland,BC,S,YT,,
Haunt,Golden Arm,May 5,LP,Heavy metal,Clean,"Fresno, CA",BC,S,,,
Drain,Living Proof,May 5,LP,"Crossover Thrash, Metalcore",Harsh,"Santa Cruz, CA",BC,S,YT,,
Enforcer,Nostalgia,May 5,LP,"Heavy metal, Speed metal",Clean,"Arvika, Sweden",BC,S,YT,,
Shayan Javadi,Shayan Javadi,May 5,LP,"Prog-metal, Fusion",Instrumental,"Dallas, TX",BC,,,,
Nadir,Extinction Rituals,May 5,LP,"Black metal, Hardcore",Harsh,"Oslo, Norway",BC,S,,,
Burning Witches,The Dark Tower,May 5,LP,Heavy metal,Clean,"Brugg, Switzerland",BC,S,,,
Draconian Reign,Tragedy Eternal,May 5,EP,Symphonic Deathcore,Harsh,"Nottingham, UK",BC,S,,,
Unearth,The Wretched; The Ruinous,May 5,LP,Metalcore,Harsh,"Wakefield, MA",,S,,,
Tygers Of Pan Tang,Bloodlines,May 5,LP,"Heavy metal, Hard rock",Clean,UK,BC,S,YT,,
Dave Lombardo,Rites of Percussion,May 5,LP,"Experimental Hip Hop, Heavy metal",Instrumental,"Los Angeles, CA",BC,S,YT,,
Jeromes Dream,The Gray In Between,May 5,LP,"Post-Hardcore, Screamo",Harsh,"New Haven, CT",BC,S,,,
Neolia,Neolia,May 5,LP,Prog-metal,Mixed,Israel,BC,S,,,
In Fear,All Is. All Shall Be,May 5,LP,Metalcore,Mixed,"Bristol, UK",BC,S,,,
Sunburster,Trudging to Extinction,May 5,EP,"Stoner metal, Sludge metal",Mixed,"Philadelphia, PA",BC,S,,,
Ugly,Autograph,May 5,LP,"Sludge metal, Doom metal",Mixed,"Prescott, AZ",BC,S,,,
Finality,Technocracy,May 5,LP,"Power metal, Thrash metal",Mixed,"Livonia, MI",BC,S,,,
Spinebreaker,Cavern of Inoculated Cognition,May 5,EP,Death metal,Harsh,"San Jose, CA",BC,S,,,
Fauns,Surcease,May 5,EP,"Post-metal, Doom metal, Sludge metal",Harsh,"New Orleans, LA",BC,S,,,
Vintersea,Woven Into Ashes,May 5,LP,Prog-metal,Mixed,"Portland, OR",BC,S,,,
Aphonic Threnody,When Death Comes Again,May 5,LP,Funeral Doom metal,Mixed,UK,BC,,,,
StartTheMonkey,Urban Psyche,May 5,LP,"Post-metal, Sludge metal",Mixed,"Athens, Greece",BC,S,,,
Heimland,Forfedrenes Taarer,May 5,LP,Black metal,Harsh,"Bergen, Norway",BC,S,,,
Earth Burial,Earth Burial,May 5,EP,"Black metal, Hardcore, Sludge metal",Harsh,"Richmond, VA",BC,S,YT,,
Psycho-Frame,Remote God Seeker,May 5,EP,Deathcore,Harsh,"Florida, MO",BC,S,,,
Multiple Pieces,Felony Ridden,May 5,LP,Mathcore,Harsh,"Nebraska, NE",BC,S,,,
Omnikoloss,Wandering Through Concrete Valleys,May 5,LP,"Black metal, Electronic",Mixed,Germany,BC,S,,,
Currents,The Death We Seek,May 5,LP,Metalcore,Mixed,"Connecticut, CT",BC,S,,,
Krallice,Porous Resonance Abyss,May 5,LP,Avant-garde Black metal,Instru./Harsh,"Queens, NY",BC,S,YT,,
Wounds of Recollection,You Were Never Loved,May 5,EP,Blackgaze,Mixed,"Atlanta, GA",BC,S,,,
Vvon Dogma I,The Kvlt of Glitch,May 5,LP,"Prog-metal, Djent, Electronic",Mixed,"Montreal, Canada",BC,S,,,
Ekosa,Eye For I,May 5,LP,"Prog-metal, Death metal",Harsh,"Adelaide, Australia",BC,S,YT,,
Hwaino,Ashes of The World Tree,May 6,LP,"Blackgaze, Post-metal",Mixed,"Bergen, Norway",BC,S,,,
Amogh Symphony,Automorphed,May 8,EP,"Prog-metal, Electronic",Instrumental,"Mumbai, India",BC,,,,
Heir to Madness,Nightflyers,May 9,LP,Prog-metal,Clean,"Texas, TX",BC,S,,,
Tephrosis,Abyss,May 10,LP,Post-metal,Instrumental,"Ypres, Belgium",BC,S,,,
Ukakuja,Ōmukade,May 11,LP,"Avant-garde metal, Deathgrind",Mixed,UK,BC,,,,
Cattle Decapitation,Terrasite,May 12,LP,"Prog-metal, Death metal, Grindcore",Harsh,"San Diego, CA",BC,S,YT,,
The Acacia Strain,Step Into the Light,May 12,LP,"Metalcore, Deathcore",Harsh,"Chicopee, MA",,S,,,
The Acacia Strain,Failure Will Follow,May 12,LP,"Sludge metal, Doom metal",Mixed,"Chicopee, MA",,S,,,
Battle Born,"Blood, Fire, Magic and Steel",May 12,LP,Power metal,Clean,"Southampton, UK",BC,S,YT,,
Chained to the Bottom of the Ocean,Obsession Destruction,May 12,LP,Sludge metal,Harsh,"Springfield, MA",BC,S,,,
DevilDriver,Dealing With Demons Vol. II,May 12,LP,"Groove metal, Metalcore",Mixed,"Los Angeles, CA",BC,S,,,
Veil of Maya,[M]other,May 12,LP,"Metalcore, Djent",Mixed,"Chicago, IL",,S,,,
Burial Clouds,Last Days of a Dying World,May 12,LP,"Post-metal, Doom metal",Mixed,"Portland, OR",BC,S,YT,,
Impetuous Ritual ,Iniquitous Barbarik Synthesis,May 12,LP,"Death metal, Black metal",Harsh,"Brisbane, Australia",BC,S,YT,,
The Dark Side Of The Moon,Metamorphosis,May 12,LP,Symphonic metal,Mixed,Germany,BC,S,,,
Hex A. D.,Delightful Sharp Edges,May 12,LP,"Traditional Doom metal, Heavy metal",Clean,"Larvik, Norway",BC,S,,,
The Amity Affliction,Not Without My Ghosts,May 12,LP,"Post-Hardcore, Metalcore",Mixed,"Brisbane, Australia",BC,S,,,
Ascended Dead,Evenfall of the Apocalypse,May 12,LP,Death metal,Harsh,"San Diego, CA",BC,S,YT,,
Pronostic,Chaotic Upheaval,May 12,LP,"Technical Death metal, Melodic Death metal",Harsh,"Montreal, Canada",BC,S,YT,,
Omnerod,The Amensal Rise,May 12,LP,"Prog-metal, Death metal",Mixed,"Brussels, Belgium",BC,S,YT,,
Esoctrilihum,Astraal Constellations of the Majickal Zodiac,May 12,LP,Black metal,Harsh,France,BC,S,,,
Their Dogs Were Astronauts,Momentum,May 12,LP,"Prog-metal, Djent",Instrumental,"Vienna, Austria",BC,S,YT,,
The Motion Mosaic,Limbo Conditions,May 12,EP,Mathcore,Mixed,"Minneapolis, MN",BC,S,,,
Gonemage,Astral Corridors,May 12,LP,"Black metal, Chiptune",Harsh,"Dallas, TX",BC,S,,,
Karmanjakah,Ancient Skills,May 12,EP,Prog-metal,Mixed,"Stockholm, Sweden",BC,S,YT,,
Iron Buddha,Raze//Repose,May 12,EP,Sludge metal,Harsh,"Florida, FL",BC,S,,,
They Watch Us From the Moon,"Cosmic Chronicles, Act I: The Ascension",May 12,LP,"Doom metal, Heavy Psych",Clean,"Lawrence, KS",BC,S,,,
Easy Blame,Easy Blame,May 12,EP,Post-Hardcore,Mixed,"Syracuse, NY",BC,S,,,
Profeci,Ubóstwo,May 12,LP,Black metal,Harsh,"Poznań, Poland",BC,S,,,
Naturvidrig,Naturvidrig,May 12,LP,Black metal,Harsh,Sweden,BC,S,,,
Sunbeam Overdrive,Diama,May 12,LP,"Prog-metal, Alt-metal",Clean,"Marseille, France",BC,S,,,
Soulless,The Supreme Resurgence,May 12,LP,Blackgaze,Harsh,Indonesia,BC,S,,,
Non Est Deus,Legacy,May 12,LP,Melodic Black metal,Harsh,"Bamberg, Germany",BC,S,,,
Lure,Memories of Humanity,May 12,LP,"Atmospheric Black metal, Depressive Black metal",Harsh,France,BC,,YT,,
Shredded,Simex Erasure,May 12,LP,Death metal,Harsh,"Richmond, VA",BC,,YT,,
Hasard,Malivore,May 12,LP,"Avant-garde metal, Black metal",Harsh,"Paris, France",BC,S,,,
Followship,Stigma,May 12,EP,Post-Hardcore,Mixed,"Richmond, VA",BC,S,,,
Moor,Heavy Heart,May 17,LP,"Post-metal, Doom metal, Sludge metal",Mixed,"Hamburg, Germany",BC,S,,,
Moonstone,Growth,May 17,LP,"Stoner metal, Doom metal",Clean,"Kraków, Poland",BC,S,,,
Leprous,Aphelion Live 2022,May 19,LP,Prog-metal,Clean,Norway,,S,,,
The Ocean,Holocene,May 19,LP,"Prog-metal, Atmospheric Sludge metal",Mixed,"Berlin, Germany",BC,S,YT,,
Thulcandra,Hail The Abyss,May 19,LP,Melodic Black metal,Harsh,"Munich, Germany",BC,S,,,
Arjen Lucassen's Supersonic Revolution,Golden Age Of Music,May 19,LP,Prog-metal,Clean,Netherlands,BC,S,,,
Sleep Token,Take Me Back To Eden,May 19,LP,"Alt-metal, Art Pop",Mixed,"London, UK",,S,,,
Soulvapor,Soulscape,May 19,LP,"Prog-metal, Metalcore, Djent",Mixed,USA,BC,S,YT,,
Botanist,VIII: Selenotrope,May 19,LP,"Avant-garde metal, Post-Black metal",Mixed,"San Francisco, CA",BC,S,,,
Henget,Beyond North Star,May 19,LP,"Prog-metal, Avant-garde metal, Black metal",Harsh,"Tampere, Finland",BC,S,YT,,
Blindfolded and Led to the Woods,Rejecting Obliteration,May 19,LP,Technical Death metal,Harsh,"Christchurch, New Zealand",BC,S,YT,,
Ring of Gyges,Metamorphosis,May 19,LP,Prog-metal,Clean,"Reykjavík, Iceland",BC,S,,,
Yakuza,Sutra,May 19,LP,"Prog-metal, Avant-garde metal, Sludge metal",Mixed,"Chicago, IL",BC,S,,,
The Spruce Moose,Pyramid Scheme,May 19,LP,"Prog-metal, Power metal",Mixed,"Edmonton, Canada",BC,S,,,
Heretoir,Wastelands,May 19,EP,Post-Black metal,Mixed,"Augsburg, Germany",BC,S,YT,,
Radien,Unissa Palaneet,May 19,LP,"Sludge metal, Doom metal",Harsh,"Helsinki, Finland",BC,S,,,
Roadwolf,Midnight Lightning,May 19,LP,Heavy metal,Clean,"Wien, Austria",BC,S,,,
Omen Astra,The End of Everything,May 19,LP,"Post-metal, Sludge metal, Metalcore",Mixed,"Hamilton, Canada",BC,S,,,
Chronicle,Where Chaos Thrives,May 19,LP,Melodic Death metal,Harsh,"Frederikshavn, Denmark",BC,S,YT,,
Age of The Wolf,A Pilgrimage to Nowhere,May 19,LP,"Doom metal, Stoner metal, Sludge metal",Mixed,"San José, Costa Rica",BC,S,,,
Sacred Outcry,Towers of Gold,May 19,LP,Power metal,Clean,Greece,BC,S,,,
Horizon's End,The Great Destroyer,May 19,LP,Prog-metal,Clean,"Thessaloniki, Greece",BC,S,,,
Maridia,Mouth Of Ruin,May 19,LP,"Post-Hardcore, Sludge metal",Mixed,"Stockholm, Sweden",BC,S,,,
Charonyx,Persistent Soul,May 19,EP,"Prog-metal, Thrash metal",Harsh,"Indianapolis, IN",BC,S,,,
Downside,Dark Patterns & Intrusive Thoughts,May 19,LP,Hardcore Punk,Harsh,"Newcastle, Australia",BC,S,,,
Vansidian,Reflecting The Shadows,May 19,LP,Melodic Death metal,Mixed,"Tampere, Finland",BC,S,YT,,
Wings of Steel,Gates of Twilight,May 19,LP,Heavy metal,Clean,"Los Angeles, CA",BC,S,,,
Finte,Wie Das Endliche Treibt,May 19,LP,"Prog-metal, Post-Hardcore",Mixed,Germany,BC,S,,,
Avidia,Sonitude,May 19,EP,Prog-metal,Instrumental,"La Paz, Bolivia",BC,S,,,
Mindvac,Mindvac,May 19,EP,"Prog-metal, Post-Hardcore",Harsh,"Charlotte, NC",BC,S,,,
Nospūn,Opus,May 19,LP,Prog-metal,Clean,"Charlotte, NC",BC,S,,,
Bird Law,Disintegration Blues,May 19,EP,Mathcore,Harsh,"Illinois, IL",BC,S,,,
Vnder A Crvmbling Moon,I: Oblivion,May 19,LP,"Doom metal, Black metal, Post-metal",Mixed,UK,BC,S,YT,,
Craving,Call of the Sirens,May 19,LP,"Melodic Death metal, Folk metal, Power metal",Mixed,"Bamberg, Germany",BC,S,,,
A Horrible Death To A Horrible Man,Days Gone By,May 19,LP,"Post-metal, Shoegaze",Clean,"Copenhagen, Denmark",BC,S,,,
Khanate,To Be Cruel,May 19,LP,"Doom metal, Drone metal, Sludge metal",Mixed,"New York, NY",BC,S,YT,,
Gr​å​ande,Gr​å​ande,May 19,EP,"Black metal, Ambient",Harsh,"Östersund, Sweden",BC,S,YT,,
Fell Harvest,The Dying,May 20,LP,Doom metal,Mixed,"Cheyenne, WY",BC,S,,,
Perfumed Saturnine Angels,Saccharine Curses Exhaled in the Wind,May 22,LP,"Post-Hardcore, Screamo",Harsh,"Dallas, TX",BC,S,,,
Resolution 13,Derelict,May 23,LP,"Alt-metal, Industrial metal",Mixed,"Helsinki, Finland",BC,S,,,
JAAW,Supercluster,May 26,LP,"Industrial metal, Noise rock",Harsh,"London, UK",BC,S,,,
Usnea,Bathed in Light,May 26,LP,"Doom metal, Sludge metal",Mixed,"Portland, OR",BC,S,,,
Phlebotomized,Clouds of Confusion,May 26,LP,"Prog-metal, Death metal",Harsh,Netherlands,BC,S,YT,,
Cloak,Black Flame Eternal,May 26,LP,"Melodic Black metal, Black 'n' Roll",Harsh,"Atlanta, GA",BC,S,,,
Inherus,Beholden,May 26,LP,"Post-metal, Doom metal",Mixed,"New York, NY",BC,S,YT,,
Trold,Der Var Engang...,May 26,LP,Folk metal,Mixed,Denmark,BC,S,YT,,
Inhale Existence ,The Spiral,May 26,LP,"Prog-metal, Djent",Mixed,"Boston, MA",BC,S,,,
Suffering Quota,Collide,May 26,LP,Grindcore,Harsh,"Groningen, Netherlands",BC,S,,,
Kostnatění,Úpal,May 26,LP,Black metal,Harsh,"Minneapolis, MN",BC,S,YT,,
Incendiary,Change The Way You Think About Pain,May 26,LP,"Metalcore, Hardcore",Mixed,"New York, NY",BC,S,,,
Strange Horizon,Skur 14,May 26,LP,Traditional Doom metal,Clean,"Bergen, Norway",BC,S,,,
Olkoth,At The Eye Of Chaos,May 26,LP,"Black metal, Death metal",Harsh,"Columbia, SC",BC,S,YT,,
Immortal,War Against All,May 26,LP,Black metal,Harsh,"Bergen, Norway",BC,S,YT,,
Sirenia,1977,May 26,LP,"Symphonic metal, Gothic metal",Clean,"Stavanger, Norway",BC,S,,,
Vexing,Grand Reproach,May 26,LP,"Prog-metal, Sludge metal",Harsh,"Denver, CO",BC,S,,,
The Foreshadowing,Forsaken Songs,May 26,EP,"Gothic metal, Doom metal",Clean,"Rome, Italy",BC,S,,,
Trespass,Wolf At The Door,May 26,LP,"NWOBHM, Heavy Metal",Clean,"Sudbury, UK",BC,S,,,
Oceanlord,Kingdom Cold,May 26,LP,Doom metal,Clean,"Melbourne, Australia",BC,S,,,
Victory Over the Sun,Dance You Monster To My Soft Song!,May 26,LP,"Avant-garde metal, Black metal",Harsh,"Portland, OR",BC,S,,,
Whythre,Impregnate My Hate,May 26,LP,Melodic Death metal,Harsh,"Seattle, WA",BC,S,,,
